estrategia,modo_evaluacion,Recall@5,Recall@10,MAP@10,NDCG@10,Latencia_Promedio_Segundos,Tokens_Contexto_Promedio
1_BoW,exact_match,20.0,20.0,0.2,0.2,0.3274,95.6
2_TF-IDF,exact_match,20.0,20.0,0.2,0.2,0.3089,95.0
3_BM25,exact_match,20.0,20.0,0.2,0.2,0.3691,106.5
4_Embeddings,exact_match,33.33,33.33,0.3333,0.3333,0.6064,112.0
5_Hibrido_RRF,exact_match,20.0,20.0,0.2,0.2,0.5776,103.6
6_Hibrido_CrossEncoder,exact_match,16.67,16.67,0.1667,0.1667,6.0748,102.0
7_Embeddings_CrossEncoder,exact_match,33.33,33.33,0.3333,0.3333,5.5524,112.0
8_MultiQuery_Embeddings_CrossEncoder,exact_match,33.33,33.33,0.3333,0.3333,8.0255,112.0
