estrategia,modo_evaluacion,Recall@5,Recall@10,MAP@10,NDCG@10,Latencia_Promedio_Segundos,Tokens_Contexto_Promedio
1_BoW,llm_judge,0.0,0.0,0.0,0.0,1.6486,250.0
2_TF-IDF,llm_judge,0.0,0.0,0.0,0.0,0.9893,250.0
3_BM25,llm_judge,0.0,0.0,0.0,0.0,0.954,248.5
4_Embeddings,llm_judge,50.0,50.0,0.5,0.5,0.6021,220.0
5_Hibrido_RRF,llm_judge,0.0,0.0,0.0,0.0,1.0499,222.0
6_Hibrido_CrossEncoder,llm_judge,50.0,50.0,0.5,0.5,10.3355,242.5
7_Embeddings_CrossEncoder,llm_judge,50.0,50.0,0.5,0.5,6.0163,220.0
8_MultiQuery_Embeddings_CrossEncoder,llm_judge,50.0,50.0,0.5,0.5,8.5592,220.0
9_HyDE_Embeddings_CrossEncoder,llm_judge,50.0,50.0,0.5,0.5,8.8619,223.0
