Candidato,NDCG@10,CI 95% NDCG@10,Recall@10,MAP@10,P50 seg,P95 seg,P99 seg,Costo corrida USD,Tokens contexto prom.,Backend QA,Cumple umbral E3-BL5 (0.83)
1_Baseline_Léxico,0.7137,"(0.6507, 0.7726)",91.74,0.6483,0.2957,0.3034,0.3169,0.5101,2200.7,gpt-4o-mini,No
2_Baseline_Semántico,0.8337,"(0.7876, 0.8763)",99.08,0.7814,0.4797,0.7469,1.0108,0.5069,2179.2,gpt-4o-mini,Sí
3_Híbrido_Simple,0.8232,"(0.776, 0.8692)",99.08,0.768,0.6926,1.0922,1.672,0.5109,2205.8,gpt-4o-mini,No
4_Híbrido_Reranker,0.8264,"(0.7843, 0.8741)",98.17,0.7746,2.8306,3.1817,3.5868,0.5055,2170.1,gpt-4o-mini,No
5_Semántico_Expandido,0.8371,"(0.7909, 0.8809)",99.08,0.786,5.1304,6.8672,8.5695,0.511,2206.4,gpt-4o-mini,Sí
6_SOTA_Completo,0.8305,"(0.7877, 0.8766)",98.17,0.7807,9.3484,11.6926,14.518,0.5013,2141.9,gpt-4o-mini,Sí
7_Ensamble_Router_Cascade,0.8305,"(0.7877, 0.8766)",98.17,0.7807,0.4797,0.7469,1.0108,0.1003,2141.9,llama3.1:8b -> gpt-4o-mini,Sí
