Comparacion nube estricta,n,Delta NDCG,CI 95%,Paired-t p,McNemar +,McNemar -,McNemar p,bootstrap p
6_SOTA_Completo - 2_Baseline_Semántico,109,-0.005017905766013832,"[-0.0563, 0.0407]",0.8406140248995706,1,2,1.0,0.8390321935612878
3_Híbrido_Simple - 2_Baseline_Semántico,109,-0.01961311851981208,"[-0.0711, 0.0305]",0.41521954453577603,1,1,1.0,0.4251149770045991
5_Semántico_Expandido - 2_Baseline_Semántico,109,-0.001837185279798756,"[-0.0175, 0.0135]",0.8158246988873468,0,0,1.0,1.0
4_Híbrido_Reranker - 2_Baseline_Semántico,109,-0.0156507519426888,"[-0.0676, 0.0338]",0.5477958327301748,1,3,0.625,0.553489302139572
