Candidato,Entrenamiento/ajuste,Memoria pico/footprint,Latencia P50 proxy nube,Latencia P95 proxy nube,Tamano artefacto,Interpretabilidad,Cumple explicabilidad stakeholder,Costo/query nube,Vendor lock-in,Residencia de datos,Temperatura/varianza,Nota
1_Baseline_Léxico,No fine-tuning; indexado y configuracion RAG,Baja: indice lexico,0.3033,0.40945500000000007,Indice BM25/BoW,Alta: lexico/BM25 auditable por tokens,Si,0.0005101,Bajo si local/Ollama; medio en corrida nube,Compatible con Banxico si se usa backend local; nube requiere controles,temperature=0 para comparacion; varianza entre runs >0 no estimada,La atencion del LLM no se usa como explicacion causal.
2_Baseline_Semántico,No fine-tuning; indexado y configuracion RAG,Media: ChromaDB/embeddings,0.2802,0.37827000000000005,ChromaDB,Media: similitud vectorial auditable por chunks,Si,0.000507,Bajo si local/Ollama; medio en corrida nube,Compatible con Banxico si se usa backend local; nube requiere controles,temperature=0 para comparacion; varianza entre runs >0 no estimada,La atencion del LLM no se usa como explicacion causal.
3_Híbrido_Simple,No fine-tuning; indexado y configuracion RAG,Media: embeddings + indice BM25,0.5077,0.6853950000000001,ChromaDB + indice BM25,Media: similitud vectorial auditable por chunks,Si,0.0005109,Bajo si local/Ollama; medio en corrida nube,Compatible con Banxico si se usa backend local; nube requiere controles,temperature=0 para comparacion; varianza entre runs >0 no estimada,La atencion del LLM no se usa como explicacion causal.
4_Híbrido_Reranker,No fine-tuning; indexado y configuracion RAG,Media-alta: embeddings + cross-encoder,2.824,3.8124000000000002,ChromaDB + indice BM25 + pesos reranker,Media: retrieval auditable + reranker opaco,Si,0.0005056,Bajo si local/Ollama; medio en corrida nube,Compatible con Banxico si se usa backend local; nube requiere controles,temperature=0 para comparacion; varianza entre runs >0 no estimada,La atencion del LLM no se usa como explicacion causal.
5_Semántico_Expandido,No fine-tuning; indexado y configuracion RAG,Media: ChromaDB/embeddings,4.8374,6.53049,ChromaDB,Media: similitud vectorial auditable por chunks,Parcial,0.0005110000000000001,Bajo si local/Ollama; medio en corrida nube,Compatible con Banxico si se usa backend local; nube requiere controles,temperature=0 para comparacion; varianza entre runs >0 no estimada,La atencion del LLM no se usa como explicacion causal.
6_SOTA_Completo,No fine-tuning; indexado y configuracion RAG,Media-alta: embeddings + cross-encoder,9.3773,12.659355000000001,ChromaDB + indice BM25 + pesos reranker,Media: retrieval auditable + reranker opaco,Parcial,0.0005023,Bajo si local/Ollama; medio en corrida nube,Compatible con Banxico si se usa backend local; nube requiere controles,temperature=0 para comparacion; varianza entre runs >0 no estimada,La atencion del LLM no se usa como explicacion causal.
