estrategia,modo_evaluacion,Recall@5,Recall@10,Recall@10_CI_95,MAP@10,MAP@10_CI_95,NDCG@10,NDCG@10_CI_95,Latencia_P50,Latencia_P95,Latencia_P99,Tokens_Contexto_Promedio,Costo_Total_USD,LLM_Modelo_QA,Es_QA_Local,LLM_Modelo_Extraccion,Es_Extraccion_Local,Es_Juez_Local,Es_Expansion_Local
1_Baseline_Léxico,llm_judge,83.49,91.74,"(86.24, 96.33)",0.6483,"(0.5761, 0.7155)",0.7137,"(0.6507, 0.7726)",0.2957,0.3034,0.3169,2200.7,0.5101,gpt-4o-mini,False,gpt-4o,False,False,False
2_Baseline_Semántico,llm_judge,96.33,99.08,"(97.25, 100.0)",0.7814,"(0.7245, 0.8385)",0.8337,"(0.7876, 0.8763)",0.4797,0.7469,1.0108,2179.2,0.5069,gpt-4o-mini,False,gpt-4o,False,False,False
3_Híbrido_Simple,llm_judge,92.66,99.08,"(97.25, 100.0)",0.768,"(0.7098, 0.828)",0.8232,"(0.776, 0.8692)",0.6926,1.0922,1.672,2205.8,0.5109,gpt-4o-mini,False,gpt-4o,False,False,False
4_Híbrido_Reranker,llm_judge,97.25,98.17,"(95.41, 100.0)",0.7746,"(0.7193, 0.8347)",0.8264,"(0.7843, 0.8741)",2.8306,3.1817,3.5868,2170.1,0.5055,gpt-4o-mini,False,gpt-4o,False,False,False
5_Semántico_Expandido,llm_judge,96.33,99.08,"(97.25, 100.0)",0.786,"(0.7278, 0.8431)",0.8371,"(0.7909, 0.8809)",5.1304,6.8672,8.5695,2206.4,0.511,gpt-4o-mini,False,gpt-4o,False,False,False
6_SOTA_Completo,llm_judge,95.41,98.17,"(95.41, 100.0)",0.7807,"(0.7254, 0.8413)",0.8305,"(0.7877, 0.8766)",9.3484,11.6926,14.518,2141.9,0.5013,gpt-4o-mini,False,gpt-4o,False,False,False
