estrategia,modo_evaluacion,Recall@5,Recall@10,Recall@10_CI_95,MAP@10,MAP@10_CI_95,NDCG@10,NDCG@10_CI_95,Latencia_P50,Latencia_P95,Latencia_P99,Tokens_Contexto_Promedio,Costo_Total_USD,LLM_Modelo_QA,Es_QA_Local,LLM_Modelo_Extraccion,Es_Extraccion_Local,Es_Juez_Local,Es_Expansion_Local
1_Baseline_Léxico,llm_judge,83.49,91.74,"(86.24, 96.33)",0.6368,"(0.5686, 0.7004)",0.7051,"(0.6447, 0.7595)",0.2991,0.31,0.3196,2200.7,0.5101,gpt-4o-mini,False,gpt-4o,False,False,False
2_Baseline_Semántico,llm_judge,95.41,98.17,"(95.41, 100.0)",0.7814,"(0.7236, 0.8407)",0.8313,"(0.7831, 0.8769)",0.2577,0.5377,0.7903,2179.2,0.5069,gpt-4o-mini,False,gpt-4o,False,False,False
3_Híbrido_Simple,llm_judge,91.74,99.08,"(97.25, 100.0)",0.7619,"(0.7002, 0.8206)",0.8185,"(0.771, 0.8642)",0.4687,0.6602,0.7792,2205.8,0.5109,gpt-4o-mini,False,gpt-4o,False,False,False
4_Híbrido_Reranker,llm_judge,95.41,97.25,"(94.5, 100.0)",0.7812,"(0.7252, 0.8424)",0.8289,"(0.7847, 0.8775)",3.0087,3.5758,3.8165,2170.1,0.5055,gpt-4o-mini,False,gpt-4o,False,False,False
5_Semántico_Expandido,llm_judge,96.33,99.08,"(97.25, 100.0)",0.7929,"(0.7375, 0.8485)",0.8424,"(0.7987, 0.8854)",5.2571,7.1294,29.2266,2207.3,0.5111,gpt-4o-mini,False,gpt-4o,False,False,False
6_SOTA_Completo,llm_judge,95.41,98.17,"(95.41, 100.0)",0.7819,"(0.7266, 0.8388)",0.8316,"(0.7852, 0.8768)",10.0168,12.9663,15.7475,2139.0,0.5008,gpt-4o-mini,False,gpt-4o,False,False,False
